id	date	assertion	verif	outcome	relay	marker	note
A01	08-31	"active: {profile: openai, model: gpt-4o} — you are right, the flaky-local-brain framing in my handoff was wrong"	V	C	BOTH	N	curl /api/overseer/brains before asserting
A02	08-31	"driver/web/src/routes/overseer/index.tsx exists in the running driver; git cat-file -e main:... fails. Soup-only"	V	C	BOTH	N	ls + git cat-file before asserting
A03	08-31	"an Overseer admin console already exists — behind the eye icon, with a working text-converse debug UI"	N	C	OP	N	FLAG own check returned only index.tsx; eye-icon+debug-UI relayed unchecked. I confirm OverseerBrainPanel.tsx + OverseerChatDebugControls exist. Correct by luck
A04	08-31	"That is the fourth instance of the same failure mode"	N	U	BOTH	N	self-tally never audited
A05	08-31	"It was five when I wrote it; it is now at least eight"	N	U	PEER	N	second, different tally in same hour
A06	08-31	"an empty gh pr list --search becoming no PR was ever opened (#19 existed)"	N	U	PEER	N	past-estate claim, no re-check
A07	08-31	"gh search code returning 0 becoming no repo uses gitleaks-action (six do)"	N	U	PEER	N	past-estate claim, no re-check
A08	08-31	"a permission-denied grep -q becoming no hook configured (there was one)"	N	U	PEER	N	past-estate claim, no re-check
A09	08-31	"I told the runner session three configs were empty (they were unreadable), and it nearly clobbered a live Podman hook"	N	U	BOTH	N	load-bearing anecdote reused 4x, never re-verified
A10	08-31	"I have been operating at B1 all week: instructing live agents to push, force-push, close PRs, restore files, change an org PAT policy"	N	U	OP	N	no receipts
A11	08-31	"One agent refused because it could not verify me — correctly"	N	U	OP	N	no receipts
A12	08-31	"Full write-up in docs/plans/2026-08-31-overseer-autonomy-axes-and-operator-surface.md — 370 lines, 7 open questions"	N	I	OP	N	FLAG file is 415 lines now, untracked so no history; 7 open questions checks out. Line count asserted without wc
A13	08-31	"the shipped buildOverseerSystemPrompt() (overseerEntity.ts:640) already carries three separate per-tool patches for your one error"	N	C	LOG	N	echoed from peer; I confirm line 640 + patches at 551/658/710
A14	08-31	"#104 citation — gh issue view 104 was one call away; I stitched a title from one grep to an id from another"	N	U	PEER	N	part of an audit presented as completed with zero tool calls
A15	08-31	"no PR was ever opened — gh pr list --head feat/18-quest-ntfy-subscribe was one call away; #19 existed"	N	U	PEER	N	same audit, no tool calls
A16	08-31	"#1698 worktree-spawned — the real cause was in peerCapability.ts, which was readable throughout"	N	U	PEER	N	same audit, no tool calls
A17	08-31	"capability re-mint fix — 2026-08-17-a2a-nametag-only-thesis.md was on disk"	N	U	PEER	N	same audit, no tool calls
A18	08-31	"jessica NO HOOK — one sudo grep away"	N	U	PEER	N	same audit, no tool calls
A19	08-31	"runner mis-route — one inspect_peer away"	N	U	PEER	N	same audit, no tool calls
A20	08-31	"admin console missing from my inventory — one look at driver/ away"	V	C	PEER	N	verified 30 min earlier same session
A21	08-31	"the corrected soft-nametag canon was not on disk. The mirror was pre-sync; commit f09bfb225 arrived later via Meta hapi-sync-fork-main"	N	C	BOTH	N	FLAG SHA asserted from memory. I confirm f09bfb225 exists, 2026-08-22, matching subject
A22	08-31	"M4=1 — I reported 0 hook keys for the lockhouse runners without checking those files were readable"	N	U	OP	N	self-report
A23	08-31	"My sed returned nothing — that is a failed pattern, not evidence of absence"	V	C	OP	N	then enumerated headings
A24	08-31	"# Staleness: the world moves after you read it, line 61, text intact"	V	C	OP	N	grep headings + sed 61,73
A25	08-31	"the claim is narrowed to seven of eight (line 48, plus a status note at 257-258)"	V	C	OP	N	grep before asserting
